pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,st_spectype,pl_period,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec,sy_dist
Kepler-295 c,Kepler-295,1,3,Transit,2014,Kepler,,21.5262769,0.1408,1.2,0,35.03,620,5603,0.9,0.8,285.3458383,45.3677754,1699.19
Kepler-295 d,Kepler-295,1,3,Transit,2014,Kepler,,33.88479552,0.192,1.72,0,62.045,537,5327,2.38,0.89,285.3458383,45.3677754,1699.19
Kepler-297 b,Kepler-297,1,3,Transit,2014,Kepler,,38.86844691,0.228,3.2,0,26.64,579,5792,0.95,1.04,283.2091605,48.7776156,692.14
Kepler-297 c,Kepler-297,1,3,Transit,2014,Kepler,,74.92770203,0.3532,7.39,0,11.1,466,5792,0.95,1.04,283.2091605,48.7776156,692.14
Kepler-298 b,Kepler-298,1,3,Transit,2014,Kepler,,10.47548138,0.0819,2.21,0,24.29,566,4549,0.65,0.67,283.0398448,48.8253303,518.204
Kepler-298 c,Kepler-298,1,3,Transit,2014,Kepler,,22.92884482,0.13805,2.26,0,8.54,436,4549,0.65,0.67,283.0398448,48.8253303,518.204
Kepler-298 d,Kepler-298,1,3,Transit,2014,Kepler,,77.4740724,0.3105,2.89,0,1.68,291,4549,0.65,0.67,283.0398448,48.8253303,518.204
Kepler-299 b,Kepler-299,1,4,Transit,2014,Kepler,,2.92721119,0.0401,1.235,0,561.53,1241,5664,0.98,1,283.2070156,48.5805222,1052.24
Kepler-299 c,Kepler-299,1,4,Transit,2014,Kepler,,6.88595434,0.07105,2.04,0,179.51,933,5664,0.98,1,283.2070156,48.5805222,1052.24
Kepler-299 d,Kepler-299,1,4,Transit,2014,Kepler,,15.0548689,0.11935,1.73,0,63.33,719,5664,0.98,1,283.2070156,48.5805222,1052.24
Kepler-299 e,Kepler-299,1,4,Transit,2014,Kepler,,38.2856338,0.22305,1.74,0,18.23,527,5650,1,1,283.2070156,48.5805222,1052.24
Kepler-300 b,Kepler-300,1,2,Transit,2014,Kepler,,10.44636649,0.0926,2.015,0,102.77,812,5968,0.93,1.03,295.2886934,48.5997243,1098.45
Kepler-300 c,Kepler-300,1,2,Transit,2014,Kepler,,40.7151103,0.2293,2.225,0,16.76,516,5968,0.93,1.03,295.2886934,48.5997243,1098.45
Kepler-301 b,Kepler-301,1,3,Transit,2014,Kepler,,2.5085541,0.0355,1.34,0,629.8,1278,5812.5,0.9,0.955,283.982904,49.2329512,719.166
Kepler-301 c,Kepler-301,1,3,Transit,2014,Kepler,,5.41907559,0.0593,1.39,0,225.71,989,5812.5,0.9,0.955,283.982904,49.2329512,719.166
Kepler-301 d,Kepler-301,1,3,Transit,2014,Kepler,,13.75132517,0.1103,1.93,0,65.24,725,5811,0.9,0.97,283.982904,49.2329512,719.166
Kepler-302 b,Kepler-302,1,2,Transit,2014,Kepler,,30.1836854,0.188,3.108,0,24.6,568,5756,1.06,1.02,294.3169307,43.6292436,1402.58
Kepler-302 c,Kepler-302,1,2,Transit,2014,Kepler,,127.2824031,0.49075,10.345,0,3.61,352,5756,1.06,1.02,294.3169307,43.6292436,1402.58
Kepler-303 b,Kepler-303,1,2,Transit,2014,Kepler,M0 V,1.93703207,0.0245,0.95,0,94.54,794,4045,0.53,0.545,283.1354742,43.6567036,209.738
Kepler-303 c,Kepler-303,1,2,Transit,2014,Kepler,,7.06117359,0.058,1.16,0,16.86,516,4045,0.55,0.57,283.1354742,43.6567036,209.738
Kepler-304 b,Kepler-304,1,4,Transit,2014,Kepler,,3.29570364,0.03995,2.99,0,249.85,1014,4779,0.71,0.76,294.4418031,40.5575408,434.684
Kepler-304 c,Kepler-304,1,4,Transit,2014,Kepler,,5.31595347,0.055,2.465,0,131.97,864,4779,0.71,0.76,294.4418031,40.5575408,434.684
Kepler-304 d,Kepler-304,1,4,Transit,2014,Kepler,,9.6534764,0.0818,2.695,0,59.64,709,4779,0.71,0.76,294.4418031,40.5575408,434.684
Kepler-305 d,Kepler-305,1,4,Transit,2014,Kepler,,16.738661,0.1186,2.68,0,28.61,590,5100,0.8,0.82,299.2242557,40.343167,868.477
Kepler-306 b,Kepler-306,1,4,Transit,2014,Kepler,,4.64621076,0.0521,1.82,0,177.15,930,4983,0.79,0.84,288.5387145,40.6160545,775.679
Kepler-306 c,Kepler-306,1,4,Transit,2014,Kepler,,7.24022634,0.07,2.455,0,98.13,803,4955,0.79,0.81,288.5387145,40.6160545,775.679
Kepler-306 d,Kepler-306,1,4,Transit,2014,Kepler,,17.32668599,0.1253,2.4425,0,30.63,600,4955,0.79,0.81,288.5387145,40.6160545,775.679
Kepler-306 e,Kepler-306,1,4,Transit,2014,Kepler,,44.8412214,0.2362,2.74,0,8.62,437,4955,0.79,0.81,288.5387145,40.6160545,775.679
Kepler-308 b,Kepler-308,1,2,Transit,2014,Kepler,,9.69501793,0.089,2.165,0,114.06,833,5895,0.905,1,295.7852423,40.4395753,1335.92
Kepler-308 c,Kepler-308,1,2,Transit,2014,Kepler,,15.3825006,0.1211,2.155,0,61.61,715,5895,0.9,1,295.7852423,40.4395753,1335.92
Kepler-309 b,Kepler-309,1,2,Transit,2014,Kepler,M0 V,5.92365634,0.05132,1.08,0,18.595,529,4696.5,0.68,0.595,297.5098911,46.9614121,544.568
Kepler-309 c,Kepler-309,1,2,Transit,2014,Kepler,M0 V,105.358184,0.34966,2.09,0,0.4,203,4713,0.72,0.67,297.5098911,46.9614121,544.568
